,id,Locality,Postcode,Street,Number,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,TerraceArea,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades, Swimming pool,State of the building
128,10686791,Bonheiden,2820,Oude Schrieksebaan ,20,APARTMENT,APARTMENT,325000,FOR_SALE,2,96.0,No,No,,Yes,4.0,No,,,No info,2,No,GOOD
129,10685910,Woluwe-St-Lambert,1200,"Avenue des Cerisiers, ",212,APARTMENT,DUPLEX,430000,FOR_SALE,2,107.0,No,Yes,No,No,,Yes,400.0,No info,No info,2,No,AS_NEW
130,10685990,Knokke - Heist,8300,Albert plein ,10,APARTMENT,GROUND_FLOOR,795000,FOR_SALE,2,88.0,No,No,No,Yes,,No,,No info,No info,2,No,AS_NEW
131,10671544,Bruxelles,1150,Avenue de Tervueren ,446,APARTMENT,APARTMENT,180000,FOR_SALE,2,87.0,No,Yes,No,No,,No,,No info,No info,2,No,TO_RENOVATE
132,10671323,Ganshoren,1083,Rue Prince Baudouin ,67/15,APARTMENT,APARTMENT,199990,FOR_SALE,2,80.0,No,Yes,No,Yes,17.0,No,,No info,No info,2,No,GOOD
133,10672104,Etterbeek,1040,Avenue de la chasse ,159,APARTMENT,APARTMENT,315000,FOR_SALE,2,70.0,No,Yes,No,Yes,9.0,No,,No info,No info,,No,GOOD
134,10672353,Middelkerke,8430,Zeedijk ,127,APARTMENT,APARTMENT,375000,FOR_SALE,1,65.0,No,Yes,,Yes,,No,,,No info,2,No,GOOD
135,10674034,Blankenberge,8370,Franchommelaan ,82,APARTMENT,APARTMENT,299000,FOR_SALE,2,106.0,No,No,,Yes,10.0,No,,,No info,2,No,GOOD
136,10674539,,,No info,No info,APARTMENT,APARTMENT,339000,FOR_SALE,2,90.0,No,No,No,Yes,15.0,No,,No info,No info,,No,AS_NEW
137,10673853,Brasschaat,2930,Bredabaan ,260,APARTMENT,APARTMENT,545000,FOR_SALE,3,230.0,No,No,Yes,Yes,30.0,Yes,,,No info,4,No,AS_NEW
138,10658175,Hotton,6990,Rue Simon ,46/2,APARTMENT,DUPLEX,198000,FOR_SALE,3,124.0,No,Yes,No,Yes,2.0,No,,,No info,3,No,AS_NEW
139,10658716,Blankenberge,8370,Franchommelaan ,82,APARTMENT,APARTMENT,279000,FOR_SALE,2,70.0,No,Yes,,Yes,,No,,,No info,,No,TO_BE_DONE_UP
140,10657768,Glabais ,1473,Chemin de la Bruyère ,58,APARTMENT,APARTMENT,460000,FOR_SALE,2,104.0,No,No,No,Yes,2.0,No,,No info,No info,2,No,GOOD
141,10658199,Auderghem,1160,Place Communale ,8,APARTMENT,APARTMENT,645000,FOR_SALE,4,182.0,No,No,No,Yes,30.0,No,,,No info,2,No,GOOD
